fid,lichen_species,lichen_notes,quadrat_id,obs_id,conf_level,l_frequency,morphotypes,rainforest_indicators_morphotypes,rainforest_indicators_rainforest_indicator
34,lobaria_pulmonaria,,LAE1_TE_QE,LAE1_TE_QE_L_20260713_141813367,high_conf,1,foliose_cyanolichen,foliose_cyanolichen,1
35,hypotrachyna_laevigata,,LAE1_TW_QE,LAE1_TW_QE_L_20260713_141813373,high_conf,4,foliose_chlorolichen,foliose_chlorolichen,1
36,melanelixia_glabratula,,LAE1_TW_QE,LAE1_TW_QE_L_20260713_141813383,med_conf,2,foliose_chlorolichen,foliose_chlorolichen,0
37,lecanora_chlarotera_s._lat.,,LAE1_TW_QE,LAE1_TW_QE_L_20260713_141813393,med_conf,2,crustose_chlorolichen,crustose_chlorolichen,0
38,lecanora_chlarotera_s._lat.,,LAE1_TW_QS,LAE1_TW_QS_L_20260713_141813403,med_conf,5,crustose_chlorolichen,crustose_chlorolichen,0
39,hypotrachyna_laevigata,,LAE1_TW_QS,LAE1_TW_QS_L_20260713_141813413,high_conf,3,foliose_chlorolichen,foliose_chlorolichen,1
40,lecanora_chlarotera_s._lat.,,LAE1_TW_QW,LAE1_TW_QW_L_20260713_141813423,med_conf,5,crustose_chlorolichen,crustose_chlorolichen,0
41,hypotrachyna_sinuosa,,LAE1_TW_QW,LAE1_TW_QW_L_20260713_141813440,high_conf,2,foliose_chlorolichen,foliose_chlorolichen,1
42,pertusaria_sp,,LAE1_TW_QW,LAE1_TW_QW_L_20260713_141813454,high_conf,1,crustose_chlorolichen,crustose_chlorolichen,0
43,hypotrachyna_sinuosa,,LAE1_TW_QN,LAE1_TW_QN_L_20260713_141813463,high_conf,4,foliose_chlorolichen,foliose_chlorolichen,1
44,lecanora_chlarotera_s._lat.,,LAE1_TW_QN,LAE1_TW_QN_L_20260713_141813473,med_conf,2,crustose_chlorolichen,crustose_chlorolichen,0
45,thelotrema_lepadinum,,LAE1_TS_QE,LAE1_TS_QE_L_20260713_141813479,high_conf,4,crustose_chlorolichen,crustose_chlorolichen,1
46,pyrenula_macrospora,,LAE1_TS_QE,LAE1_TS_QE_L_20260713_141813483,high_conf,3,crustose_chlorolichen,crustose_chlorolichen,1
47,graphis_scripta_s._lat.,,LAE1_TS_QE,LAE1_TS_QE_L_20260713_141813503,high_conf,1,crustose_chlorolichen,crustose_chlorolichen,0
48,lecanora_chlarotera_s._lat.,,LAE1_TS_QS,LAE1_TS_QS_L_20260713_141813513,med_conf,2,crustose_chlorolichen,crustose_chlorolichen,0
49,pyrenula_macrospora,,LAE1_TS_QS,LAE1_TS_QS_L_20260713_141813526,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,1
50,pyrenula_macrospora,,LAE1_TS_QW,LAE1_TS_QW_L_20260713_141813535,high_conf,4,crustose_chlorolichen,crustose_chlorolichen,1
51,thelotrema_lepadinum,,LAE1_TS_QW,LAE1_TS_QW_L_20260713_141813548,high_conf,3,crustose_chlorolichen,crustose_chlorolichen,1
