fid,tree_species,bark_roughness_class,tree_notes,tree_id,site_id,cbh_cm,bearing,m_centroid_distance,hidden_tree_id
12,Fagus_sylvatica,rough_b,,LAE1_TN,LAE1,39,tn,12.24,LAE1_TN
13,Fagus_sylvatica,inter_b,Close to road,LAE1_TE,LAE1,82,te,5.62,LAE1_TE
14,Fagus_sylvatica,inter_b,,LAE1_TS,LAE1,50.65,ts,12.1,LAE1_TS
15,Fagus_sylvatica,rough_b,Exposed to Loch Aline,LAE1_TW,LAE1,90.25,tw,10.5,LAE1_TW
17,Betula_sp,rough_b,"I had to reject 2 prior trees. One was too young/small, the other was unsafe (bramble)",LAN1_TN,LAN1,123,tn,19.82,LAN1_TN
18,Betula_sp,rough_b,West side is up against some young pine tree 2m in height,LAN1_TE,LAN1,99,te,11.04,LAN1_TE
19,Betula_sp,rough_b,Solid ivy cover,LAN1_TS,LAN1,87,ts,10.21,LAN1_TS
20,Betula_sp,rough_b,"Old thin birch, lots of fruiticose ",LAN1_TW,LAN1,42,tw,3.83,LAN1_TW
21,Acer_pseudoplatanus,smooth_b,Uphill by a stream,LAW1_TN,LAW1,43,tn,15.35,LAW1_TN
22,Betula_sp,inter_b,Largest stem in a many-stem birch,LAW1_TE,LAW1,59.5,te,11.26,LAW1_TE
23,Corylus_avellana,smooth_b,Typical multi stem hazel. Surveying widest branches,LAW1_TS,LAW1,54,ts,17.72,LAW1_TS
24,Alnus_glutinosa,inter_b,,LAW1_TW,LAW1,43,tw,4.35,LAW1_TW
25,Quercus_sp,rough_b,Old oak. Had to reject another oak and hazel because they were unsafe (close to river bank),LAN2_TW,LAN2,130,tw,7,LAN2_TW
26,Sorbus_aucuparia,inter_b,"Has to reject hazel because too small/young. This Rowan splits, I use the larger stem",LAN2_TN,LAN2,52,tn,14.28,LAN2_TN
27,Corylus_avellana,inter_b,Very old looking hazel,LAN2_TE,LAN2,42,te,12,LAN2_TE
28,Quercus_sp,rough_b,Very old looking oak covered in moss,LAN2_TS,LAN2,138,ts,6,LAN2_TS
29,Quercus_sp,rough_b,Very old oak. Much moss,LAN3_TN,LAN3,191,tn,18,LAN3_TN
30,Quercus_sp,rough_b,THE NOTEPAD SAYS WEST THIS IS A LIE THE TREE IS EAST. Small cliff between centroid and tree (west of tree). I corrected the issue but the south quadrat will say TW,LAN3_TE,LAN3,111,te,5,LAN3_TE
31,Quercus_sp,rough_b,Quite the impressive oak,LAN3_TS,LAN3,214,ts,14,LAN3_TS
32,Quercus_sp,rough_b,Another quite old oak,LAN3_TW,LAN3,2.63,tw,14,LAN3_TW
33,Betula_sp,inter_b,Young mature birch angled at a 45 degrees,RR1_TN,RR1,66,tn,16,RR1_TN
34,Quercus_sp,rough_b,Fallen limb of an oak become a second trunk. Absolutely covered in rainforest indicator taxa,RR1_TW,RR1,82,tw,15,RR1_TW
35,Quercus_sp,rough_b,Real distance is 20.8m fix that.,RR1_TS,RR1,153,ts,21,RR1_TS
36,Quercus_sp,rough_b,Another very old oak,RR1_TE,RR1,156,te,11,RR1_TE
37,Betula_sp,rough_b,"No trees close to 1m north so just picked the closest tree, which was to the west.",BG1_TN,BG1,52,tn,4,BG1_TN
38,Quercus_sp,rough_b,Old oka near path,BG1_TE,BG1,182,te,9,BG1_TE
39,Betula_sp,rough_b,Heavily damaged by an oak fall. Some sides possibly inaccessible,BG1_TS,BG1,80,ts,9,BG1_TS
40,Betula_sp,rough_b,"Old birch, on its last legs but regenerating from the bottom",BG1_TW,BG1,41,tw,11,BG1_TW
41,Quercus_sp,rough_b,Had to reject a birch that was too small,BG2_TN,BG2,136.5,tn,17,BG2_TN
42,Quercus_sp,rough_b,Relatively small oak,BG2_TE,BG2,80.35,te,15,BG2_TE
43,Quercus_sp,rough_b,Another big ol' oak. It had a cool blue lichen on it that I took a photo of but none was in any quadrats.,BG2_TS,BG2,138.5,ts,17,BG2_TS
44,Betula_sp,inter_b,Very close to centroid.,BG2_TW,BG2,76,tw,2,BG2_TW
45,Betula_sp,rough_b,Very old looking birch,BG3_TN,BG3,46,tn,9,BG3_TN
46,Quercus_sp,rough_b,Most of the lower branches are dead. Healthy up top,BG3_TW,BG3,142.5,tw,4,BG3_TW
47,Quercus_sp,rough_b,Another oak,BG3_TE,BG3,125,te,10,BG3_TE
48,Quercus_sp,rough_b,Another oak. Midges,BG3_TS,BG3,70,ts,6,BG3_TS
49,Quercus_sp,rough_b,A very large oak,BG4_TN,BG4,192,tn,19,BG4_TN
50,Quercus_sp,rough_b,Another oak,BG4_TW,BG4,146.5,tw,13,BG4_TW
51,Quercus_sp,rough_b,Lots of lichen. Midges are evil,BG4_TW,BG4,249,tw,9,BG4_TW
