site_id,xcoord,ycoord
LAE1,169174.2204867,745323.469030621
LAN1,169700.573471744,747577.218970533
LAW1,169524.281240273,747412.500747828
LAN2,169822.522952623,747701.082689366
LAN3,169947.453249267,747578.209743004
RR1,170936.567078582,747290.622616665
BG1,171077.046052534,751654.996455881
BG2,171017.306233729,751376.852970319
BG3,170664.507122362,751089.900152532
BG4,170249.395239147,750594.131198687
BG5,171029.29863857,751311.564637373
BG6,171110.30339512,751547.84096905
AGG1,170414.023006399,750494.778053062
AGG2,171083.325002012,750315.079130882
AGG3,171198.66889482,750287.060324888
AGG4,170872.474570549,750446.156794373
AGG5,170624.137369391,750491.80227189
RA1,169641.228830399,747876.540439378
RA2,169570.721366273,748332.778814432
RA3,169873.319186901,748480.944572919
LAE2,169391.215367327,745827.348100009
LAE3,169377.342137736,745374.525199131
LAE4,169330.371409846,745624.937705459
LAE5,170106.19150656,746763.832480678
ARI1,167453.500600445,752197.299625691
ARI2,167747.65302093,752120.066502524
ARI3,167982.382616225,751902.217664186
ARI4,168225.795754517,751893.65112671
INN1,170709.951762782,742423.105302757
INN2,170587.967544877,742592.622258502
ARI5,168504.176760531,751783.677151726
ARI6,168301.45265354,751726.492304267
ARI7,168916.675383312,751569.96832973
ARI8,169036.996373967,751336.787063211
RR2,171355.477085795,747146.989382481
RR3,171157.453714919,747232.209572514
