tree_id,xcoord,ycoord
LAE1_TN,169178.225766084,745336.817932458
LAE1_TE,169176.800174072,745320.978289333
LAE1_TS,169173.780658783,745313.39689631
LAE1_TW,169167.149445604,745326.195116039
LAN1_TN,169690.207597645,747590.789941004
LAN1_TE,169710.146672209,747575.913647307
LAN1_TS,169696.79665097,747564.490923278
LAN1_TW,169693.369883337,747574.774703948
LAW1_TN,169516.655724731,747426.676055161
LAW1_TE,169540.34304181,747412.5548443
LAW1_TS,169525.351179847,747388.975246506
LAW1_TW,169506.279913923,747410.760553551
LAN2_TW,169811.814345187,747701.755395848
LAN2_TN,169822.529449948,747719.457990177
LAN2_TE,169834.189526554,747701.175724583
LAN2_TS,169822.402728389,747692.919501278
LAN3_TN,169950.968232779,747611.334369149
LAN3_TE,169954.129419567,747577.756612267
LAN3_TS,169952.633202152,747557.269250792
LAN3_TW,169929.379639796,747578.075292547
RR1_TN,170937.255958989,747308.839443132
RR1_TW,170927.857856788,747299.667830263
RR1_TS,170938.923644208,747270.626829228
RR1_TE,170948.59755894,747290.99962865
BG1_TN,171072.480611065,751655.110926789
BG1_TE,171088.512534796,751654.660085023
BG1_TS,171076.26090736,751635.407531724
BG1_TW,171066.060023775,751654.691257146
BG2_TN,171015.274041084,751401.910793794
BG2_TE,171033.697338926,751376.151002025
BG2_TS,171017.211404301,751363.988106303
BG2_TW,171013.417284879,751377.095213711
BG3_TN,170672.713485903,751095.370926973
BG3_TW,170658.71141483,751086.215498876
BG3_TE,170675.99558913,751088.920563349
BG3_TS,170665.605274011,751081.959911233
BG4_TN,170252.374413703,750605.914141186
BG4_TW,170243.018588938,750593.924935284
BG4_TW,170258.034949496,750595.515883249
BG4_TS,170249.33804926,750581.144728754
BG5_TN,171026.666201807,751318.499385899
BG5_TW,171024.04793953,751311.76165825
BG5_TE,171037.40928955,751314.400102428
BG5_TS,171029.71723475,751309.359785857
BG6_TN,171108.695977179,751563.5884824
BG6_TW,171092.822209868,751551.781294356
BG6_TS,171112.870392583,751538.000987481
BG6_TE,171143.357751111,751560.612771395
AGG1_TN,170416.174044079,750524.062389936
AGG1_TW,170379.204867503,750492.903226218
AGG1_TS,170416.022447565,750459.011502914
AGG1_TE,170433.366828041,750485.384857415
AGG2_TN,171081.213785017,750334.333901033
AGG2_TW,171074.487944704,750311.250787988
AGG2_TE,171096.444104062,750320.017297721
AGG2_TS,171092.988332178,750313.858151835
AGG3_TN,171197.693016502,750302.159721713
AGG3_TW,171195.377299257,750290.058289018
AGG3_TS,171200.805454988,750283.299350249
AGG3_TE,171203.092344801,750290.138484485
AGG4_TN,170870.596623089,750480.338642728
AGG4_TW,170855.530220137,750449.895552592
AGG4_TS,170874.498317412,750407.573620952
AGG4_TE,170892.507443632,750441.764665538
AGG5_TN,170626.31219872,750503.287069984
AGG5_TW,170613.013239653,750493.802717133
AGG5_TS,170624.489306104,750481.98658948
AGG5_TE,170633.436140306,750492.278983596
RA1_TS,169642.27645877,747859.08399145
RA1_TE,169664.117525757,747873.57701366
RA1_TN,169639.902094123,747913.431942693
RA1_TW,169623.696306484,747876.392009858
RA2_TN,169570.755156777,748358.025418388
